customer_id,customer_segment,location,signup_date
C0001,Standard,Delhi,2022-05-16
C0002,Enterprise,Chennai,2022-11-07
C0003,Premium,Hyderabad,2022-04-19
C0004,Standard,Chennai,2022-12-20
C0005,Standard,Delhi,2023-01-01
C0006,Standard,Bangalore,2022-07-24
C0007,Standard,Pune,2022-11-29
C0008,Premium,Bangalore,2022-08-13
C0009,Standard,Chennai,2022-08-20
C0010,Premium,Mumbai,2022-05-07
C0011,Standard,Delhi,2022-02-02
C0012,Enterprise,Bangalore,2022-01-11
C0013,Premium,Chennai,2022-10-11
C0014,Standard,Delhi,2022-10-29
C0015,Standard,Delhi,2022-01-04
C0016,Standard,Mumbai,2022-12-29
C0017,Standard,Pune,2022-01-31
C0018,Standard,Delhi,2022-02-04
C0019,Standard,Mumbai,2022-06-19
C0020,Standard,Mumbai,2022-09-21
C0021,Standard,Delhi,2022-05-23
C0022,Standard,Pune,2022-09-06
C0023,Standard,Delhi,2022-10-04
C0024,Standard,Delhi,2022-10-20
C0025,Standard,Chennai,2022-08-31
C0026,Premium,Delhi,2022-08-31
C0027,Standard,Hyderabad,2022-04-08
C0028,Standard,Mumbai,2022-02-19
C0029,Standard,Pune,2022-08-09
C0030,Standard,Bangalore,2022-08-05
C0031,Standard,Hyderabad,2022-08-28
C0032,Standard,Pune,2022-01-28
C0033,Standard,Pune,2022-12-01
C0034,Premium,Pune,2022-02-20
C0035,Enterprise,Mumbai,2022-07-26
C0036,Premium,Pune,2022-06-23
C0037,Standard,Mumbai,2022-05-08
C0038,Standard,Delhi,2022-04-08
C0039,Standard,Chennai,2022-08-18
C0040,Standard,Delhi,2022-08-05
C0041,Standard,Delhi,2022-05-23
C0042,Standard,Hyderabad,2022-05-08
C0043,Standard,Mumbai,2022-08-15
C0044,Premium,Chennai,2022-02-20
C0045,Standard,Mumbai,2022-11-30
C0046,Standard,Chennai,2022-01-08
C0047,Standard,Mumbai,2022-05-02
C0048,Standard,Delhi,2022-07-28
C0049,Standard,Hyderabad,2022-09-04
C0050,Standard,Delhi,2022-07-25
C0051,Enterprise,Mumbai,2022-03-26
C0052,Premium,Hyderabad,2022-01-02
C0053,Premium,Hyderabad,2022-05-16
C0054,Premium,Hyderabad,2022-05-27
C0055,Standard,Hyderabad,2022-12-23
C0056,Premium,Pune,2022-10-12
C0057,Standard,Pune,2022-09-07
