return_id,return_date,order_id,product_id,quantity,return_reason
RET00001,2023-01-11,ORD000166,P028,2,Wrong Item
RET00002,2023-01-08,ORD000251,P022,1,Late Delivery
RET00003,2023-01-10,ORD000320,P025,3,Wrong Item
RET00004,2023-01-08,ORD000391,P039,1,Damaged
RET00005,2023-01-13,ORD000424,P035,1,Late Delivery
RET00006,2023-01-14,ORD000603,P004,1,Wrong Item
RET00007,2023-01-22,ORD000626,P002,5,Damaged
RET00008,2023-01-17,ORD000631,P004,2,Customer Changed Mind
RET00009,2023-01-22,ORD000690,P017,1,Damaged
RET00010,2023-01-24,ORD000762,P017,1,Damaged
RET00011,2023-01-23,ORD000947,P038,8,Damaged
RET00012,2023-01-27,ORD001009,P026,3,Late Delivery
RET00013,2023-01-27,ORD001031,P030,1,Damaged
RET00014,2023-01-24,ORD001033,P015,2,Wrong Item
RET00015,2023-01-30,ORD001057,P035,1,Damaged
RET00016,2023-01-24,ORD001096,P040,3,Late Delivery
RET00017,2023-01-25,ORD001108,P008,5,Late Delivery
RET00018,2023-01-28,ORD001135,P021,3,Late Delivery
RET00019,2023-01-31,ORD001142,P001,1,Damaged
RET00020,2023-01-24,ORD001191,P026,1,Late Delivery
RET00021,2023-01-26,ORD001229,P027,1,Customer Changed Mind
RET00022,2023-01-31,ORD001289,P031,1,Customer Changed Mind
RET00023,2023-01-27,ORD001299,P015,5,Customer Changed Mind
RET00024,2023-01-29,ORD001330,P036,5,Damaged
RET00025,2023-01-30,ORD001501,P004,1,Late Delivery
RET00026,2023-02-06,ORD001556,P031,3,Customer Changed Mind
RET00027,2023-02-01,ORD001642,P029,2,Late Delivery
RET00028,2023-02-05,ORD001654,P021,1,Wrong Item
RET00029,2023-02-06,ORD001778,P018,2,Late Delivery
RET00030,2023-02-10,ORD001842,P040,4,Damaged
RET00031,2023-02-04,ORD001861,P008,3,Customer Changed Mind
RET00032,2023-02-06,ORD001912,P027,1,Damaged
RET00033,2023-02-09,ORD001980,P017,4,Customer Changed Mind
RET00034,2023-02-08,ORD002052,P010,5,Damaged
RET00035,2023-02-10,ORD002089,P004,1,Late Delivery
RET00036,2023-02-12,ORD002105,P004,5,Customer Changed Mind
RET00037,2023-02-13,ORD002135,P029,4,Damaged
RET00038,2023-02-12,ORD002155,P028,2,Late Delivery
RET00039,2023-02-13,ORD002175,P029,3,Customer Changed Mind
RET00040,2023-02-15,ORD002304,P004,2,Damaged
RET00041,2023-02-23,ORD002433,P033,3,Customer Changed Mind
RET00042,2023-02-20,ORD002496,P022,1,Damaged
RET00043,2023-02-22,ORD002548,P021,3,Late Delivery
RET00044,2023-02-23,ORD002657,P034,1,Wrong Item
RET00045,2023-02-23,ORD002685,P012,1,Customer Changed Mind
RET00046,2023-02-19,ORD002700,P028,2,Wrong Item
RET00047,2023-02-20,ORD002804,P023,4,Late Delivery
RET00048,2023-02-26,ORD002837,P001,4,Wrong Item
RET00049,2023-03-03,ORD002916,P028,2,Damaged
RET00050,2023-02-26,ORD002928,P040,1,Late Delivery
RET00051,2023-03-02,ORD002996,P007,3,Customer Changed Mind
RET00052,2023-03-04,ORD003061,P009,1,Damaged
RET00053,2023-03-01,ORD003114,P001,4,Late Delivery
RET00054,2023-03-04,ORD003123,P032,1,Damaged
RET00055,2023-03-02,ORD003127,P008,1,Wrong Item
RET00056,2023-03-03,ORD003137,P031,2,Customer Changed Mind
RET00057,2023-03-01,ORD003149,P007,3,Wrong Item
RET00058,2023-03-10,ORD003301,P007,1,Damaged
RET00059,2023-03-12,ORD003403,P017,2,Wrong Item
RET00060,2023-03-08,ORD003422,P002,2,Wrong Item
RET00061,2023-03-06,ORD003449,P027,1,Wrong Item
RET00062,2023-03-10,ORD003475,P035,2,Wrong Item
RET00063,2023-03-13,ORD003486,P002,2,Damaged
RET00064,2023-03-11,ORD003520,P001,2,Customer Changed Mind
RET00065,2023-03-16,ORD003548,P021,2,Customer Changed Mind
RET00066,2023-03-09,ORD003567,P018,1,Late Delivery
RET00067,2023-03-14,ORD003574,P009,2,Wrong Item
RET00068,2023-03-12,ORD003582,P021,5,Damaged
RET00069,2023-03-13,ORD003790,P037,1,Wrong Item
RET00070,2023-03-13,ORD003802,P036,1,Wrong Item
RET00071,2023-03-21,ORD003817,P028,2,Customer Changed Mind
RET00072,2023-03-16,ORD003840,P013,3,Wrong Item
RET00073,2023-03-22,ORD003862,P033,1,Customer Changed Mind
RET00074,2023-03-22,ORD003964,P014,3,Wrong Item
RET00075,2023-03-20,ORD004015,P029,4,Damaged
RET00076,2023-03-25,ORD004019,P036,1,Customer Changed Mind
RET00077,2023-03-20,ORD004135,P027,1,Damaged
RET00078,2023-03-21,ORD004190,P002,1,Wrong Item
RET00079,2023-03-27,ORD004245,P026,3,Damaged
RET00080,2023-03-24,ORD004257,P013,1,Late Delivery
RET00081,2023-03-28,ORD004320,P034,1,Late Delivery
RET00082,2023-03-30,ORD004327,P012,1,Damaged
RET00083,2023-03-22,ORD004341,P029,1,Late Delivery
RET00084,2023-03-29,ORD004358,P031,1,Wrong Item
RET00085,2023-04-02,ORD004571,P017,1,Wrong Item
RET00086,2023-03-27,ORD004628,P021,6,Late Delivery
RET00087,2023-04-02,ORD004672,P005,4,Wrong Item
RET00088,2023-04-03,ORD004734,P040,1,Late Delivery
RET00089,2023-04-04,ORD004737,P015,2,Customer Changed Mind
RET00090,2023-03-31,ORD004757,P022,2,Damaged
RET00091,2023-04-08,ORD004810,P036,3,Customer Changed Mind
RET00092,2023-04-09,ORD004827,P032,1,Wrong Item
RET00093,2023-04-03,ORD004891,P033,7,Wrong Item
RET00094,2023-04-03,ORD004913,P004,2,Customer Changed Mind
RET00095,2023-04-03,ORD004947,P005,1,Damaged
RET00096,2023-04-07,ORD004952,P026,1,Customer Changed Mind
RET00097,2023-04-07,ORD005013,P023,2,Late Delivery
RET00098,2023-04-10,ORD005026,P003,5,Wrong Item
RET00099,2023-04-10,ORD005070,P004,1,Damaged
RET00100,2023-04-08,ORD005076,P004,2,Damaged
RET00101,2023-04-08,ORD005126,P033,1,Wrong Item
RET00102,2023-04-11,ORD005232,P030,2,Customer Changed Mind
RET00103,2023-04-10,ORD005317,P021,1,Late Delivery
RET00104,2023-04-12,ORD005340,P008,2,Damaged
RET00105,2023-04-18,ORD005395,P034,1,Late Delivery
RET00106,2023-04-11,ORD005417,P027,2,Customer Changed Mind
RET00107,2023-04-18,ORD005515,P021,3,Late Delivery
RET00108,2023-04-13,ORD005526,P037,2,Customer Changed Mind
RET00109,2023-04-16,ORD005551,P009,1,Damaged
RET00110,2023-04-22,ORD005648,P027,1,Late Delivery
RET00111,2023-04-28,ORD005810,P007,9,Late Delivery
RET00112,2023-04-26,ORD005873,P021,1,Late Delivery
RET00113,2023-04-25,ORD005922,P008,1,Damaged
RET00114,2023-04-23,ORD005927,P023,3,Customer Changed Mind
RET00115,2023-04-21,ORD005942,P012,2,Wrong Item
RET00116,2023-05-01,ORD005956,P034,3,Damaged
RET00117,2023-04-26,ORD006082,P008,1,Customer Changed Mind
RET00118,2023-05-01,ORD006143,P018,4,Wrong Item
RET00119,2023-05-03,ORD006146,P022,5,Customer Changed Mind
RET00120,2023-04-25,ORD006168,P033,1,Wrong Item
RET00121,2023-05-02,ORD006225,P018,1,Damaged
RET00122,2023-05-05,ORD006260,P033,1,Late Delivery
RET00123,2023-05-06,ORD006307,P032,1,Customer Changed Mind
RET00124,2023-05-06,ORD006377,P009,2,Customer Changed Mind
RET00125,2023-05-04,ORD006505,P010,1,Wrong Item
RET00126,2023-05-04,ORD006551,P004,1,Wrong Item
RET00127,2023-05-02,ORD006560,P038,3,Late Delivery
RET00128,2023-05-05,ORD006577,P031,3,Damaged
RET00129,2023-05-11,ORD006586,P006,17,Customer Changed Mind
RET00130,2023-05-07,ORD006596,P027,3,Late Delivery
RET00131,2023-05-06,ORD006621,P036,4,Customer Changed Mind
RET00132,2023-05-11,ORD006637,P012,3,Damaged
RET00133,2023-05-08,ORD006693,P031,1,Customer Changed Mind
RET00134,2023-05-12,ORD006909,P023,5,Customer Changed Mind
RET00135,2023-05-13,ORD007028,P026,3,Customer Changed Mind
RET00136,2023-05-12,ORD007044,P039,1,Late Delivery
RET00137,2023-05-18,ORD007089,P029,3,Customer Changed Mind
RET00138,2023-05-15,ORD007166,P028,1,Customer Changed Mind
RET00139,2023-05-14,ORD007169,P008,1,Late Delivery
RET00140,2023-05-14,ORD007178,P030,2,Wrong Item
RET00141,2023-05-15,ORD007201,P011,3,Wrong Item
RET00142,2023-05-26,ORD007314,P036,2,Damaged
RET00143,2023-05-24,ORD007321,P006,1,Wrong Item
RET00144,2023-05-24,ORD007332,P001,1,Damaged
RET00145,2023-05-19,ORD007342,P001,2,Damaged
RET00146,2023-05-20,ORD007377,P037,2,Damaged
RET00147,2023-05-29,ORD007642,P028,1,Damaged
RET00148,2023-05-25,ORD007675,P030,1,Customer Changed Mind
RET00149,2023-05-27,ORD007684,P028,3,Late Delivery
RET00150,2023-05-31,ORD007713,P007,1,Wrong Item
RET00151,2023-05-27,ORD007747,P021,1,Damaged
RET00152,2023-05-26,ORD007762,P008,2,Damaged
RET00153,2023-05-31,ORD007821,P022,2,Wrong Item
RET00154,2023-05-30,ORD007832,P014,2,Customer Changed Mind
RET00155,2023-05-31,ORD007834,P010,2,Wrong Item
RET00156,2023-05-29,ORD007869,P009,1,Late Delivery
RET00157,2023-05-31,ORD007887,P037,1,Late Delivery
RET00158,2023-05-31,ORD007890,P034,2,Damaged
RET00159,2023-06-03,ORD007922,P008,1,Late Delivery
RET00160,2023-06-06,ORD007944,P030,3,Late Delivery
RET00161,2023-06-06,ORD008175,P031,2,Customer Changed Mind
RET00162,2023-06-10,ORD008190,P007,1,Customer Changed Mind
RET00163,2023-06-11,ORD008271,P003,1,Wrong Item
RET00164,2023-06-05,ORD008284,P017,1,Wrong Item
RET00165,2023-06-08,ORD008309,P012,3,Damaged
RET00166,2023-06-07,ORD008312,P017,1,Damaged
RET00167,2023-06-10,ORD008327,P033,2,Wrong Item
RET00168,2023-06-14,ORD008428,P034,1,Damaged
RET00169,2023-06-11,ORD008525,P039,3,Wrong Item
RET00170,2023-06-16,ORD008548,P022,1,Damaged
RET00171,2023-06-17,ORD008594,P007,2,Customer Changed Mind
RET00172,2023-06-17,ORD008625,P027,18,Customer Changed Mind
RET00173,2023-06-12,ORD008692,P004,5,Late Delivery
RET00174,2023-06-15,ORD008739,P013,4,Wrong Item
RET00175,2023-06-18,ORD008864,P028,3,Customer Changed Mind
RET00176,2023-06-16,ORD008923,P004,1,Customer Changed Mind
RET00177,2023-06-17,ORD008941,P017,1,Customer Changed Mind
RET00178,2023-06-19,ORD008943,P022,3,Customer Changed Mind
