order_id,order_date,customer_id,product_id,quantity,unit_price,discount,revenue,cost,profit
ORD000001,2023-01-01,C0081,P017,3,438.79,0.05,1250.55,925.41,325.14
ORD000002,2023-01-01,C0227,P013,4,134.49,0.05,511.06,416.88,94.18
ORD000003,2023-01-01,C0117,P021,2,101.28,0.05,192.43,84.86,107.57
ORD000004,2023-01-01,C0358,P015,2,296.28,0.0,592.56,292.42,300.14
ORD000005,2023-01-01,C0150,P010,2,871.26,0.0,1742.52,810.98,931.54
ORD000006,2023-01-01,C0672,P004,4,245.85,0.05,934.23,496.0,438.23
ORD000007,2023-01-01,C0578,P031,4,114.14,0.05,433.73,258.64,175.09
ORD000008,2023-01-01,C0579,P027,5,707.82,0.0,3539.1,1587.25,1951.85
ORD000009,2023-01-01,C0643,P013,4,134.49,0.0,537.96,416.88,121.08
ORD000010,2023-01-01,C0453,P026,3,549.6,0.0,1648.8,755.46,893.34
ORD000011,2023-01-01,C0361,P021,3,101.28,0.0,303.84,127.29,176.55
ORD000012,2023-01-01,C0039,P003,3,371.58,0.0,1114.74,898.02,216.72
ORD000013,2023-01-01,C0093,P026,5,549.6,0.05,2610.6,1259.1,1351.5
ORD000014,2023-01-01,C0595,P022,1,211.14,0.05,200.58,114.19,86.39
ORD000015,2023-01-01,C0586,P027,3,707.82,0.0,2123.46,952.35,1171.11
ORD000016,2023-01-01,C0514,P007,1,578.25,0.05,549.34,352.09,197.25
ORD000017,2023-01-01,C0352,P040,1,132.54,0.05,125.91,72.91,53.0
ORD000018,2023-01-01,C0177,P002,4,771.3,0.0,3085.2,1483.48,1601.72
ORD000019,2023-01-01,C0537,P021,2,101.28,0.05,192.43,84.86,107.57
ORD000020,2023-01-01,C0347,P028,1,69.76,0.0,69.76,41.13,28.63
ORD000021,2023-01-01,C0663,P014,3,1139.22,0.0,3417.66,1478.28,1939.38
ORD000022,2023-01-01,C0259,P030,5,653.01,0.0,3265.05,1720.2,1544.85
ORD000023,2023-01-01,C0342,P004,2,245.85,0.0,491.7,248.0,243.7
ORD000024,2023-01-01,C0318,P039,4,833.41,0.0,3333.64,1474.52,1859.12
ORD000025,2023-01-01,C0726,P037,3,1005.01,0.05,2864.28,1321.71,1542.57
ORD000026,2023-01-01,C0659,P033,2,713.04,0.0,1426.08,766.72,659.36
ORD000027,2023-01-01,C0702,P036,1,556.94,0.0,556.94,303.48,253.46
ORD000028,2023-01-01,C0434,P021,1,101.28,0.0,101.28,42.43,58.85
ORD000029,2023-01-01,C0185,P038,3,89.86,0.0,269.58,115.14,154.44
ORD000030,2023-01-01,C0498,P008,2,784.45,0.0,1568.9,958.06,610.84
ORD000031,2023-01-01,C0303,P034,1,785.69,0.0,785.69,422.42,363.27
ORD000032,2023-01-01,C0553,P033,5,713.04,0.0,3565.2,1916.8,1648.4
ORD000033,2023-01-01,C0345,P035,5,272.44,0.0,1362.2,966.1,396.1
ORD000034,2023-01-01,C0386,P007,2,578.25,0.05,1098.68,704.18,394.5
ORD000035,2023-01-01,C0640,P033,2,713.04,0.0,1426.08,766.72,659.36
ORD000036,2023-01-01,C0045,P017,2,438.79,0.0,877.58,616.94,260.64
ORD000037,2023-01-01,C0626,P012,4,834.52,0.0,3338.08,1665.64,1672.44
ORD000038,2023-01-01,C0245,P012,4,834.52,0.0,3338.08,1665.64,1672.44
ORD000039,2023-01-01,C0199,P015,5,296.28,0.05,1407.33,731.05,676.28
ORD000040,2023-01-01,C0473,P031,4,114.14,0.0,456.56,258.64,197.92
ORD000041,2023-01-01,C0429,P039,2,833.41,0.0,1666.82,737.26,929.56
ORD000042,2023-01-01,C0142,P035,1,272.44,0.0,272.44,193.22,79.22
ORD000043,2023-01-01,C0381,P022,1,211.14,0.0,211.14,114.19,96.95
ORD000044,2023-01-01,C0529,P034,3,785.69,0.0,2357.07,1267.26,1089.81
